Echo of Input Data
RAM Manager
15.03.00.000
HFH
DataBase: 14136 - 222 Milwaukee 2016.12
Building Code: IBC

02/02/17 11:39:44
Layout Types:
P1
LEVEL 1
LEVEL 2
MEZZ
LEVEL 3
LEVEL 5-7
LEVEL 8
ROOF
MECH ROOF
LEVEL 4
P2
LEVEL 7
LEVEL 6
LEVEL 5
ROOF CONCEPT
Tables Selected:
Deck Table:, ramdecks
Master Steel Table:,ramaisc
Default Steel Table:,ramaisc
Alternate Steel Table:, ramaisc
Column Steel Table:,ramaisc
Reinforcement Table:,ramastm
Pan Form Table:, ramceco
Story Data:
 Level,, Story Label, Layout Type, Height (ft)
   13,,MECH ROOF,MECH ROOF,    11.833
   12,,ROOF,ROOF,    13.833
   11,,Level 8,LEVEL 8,     9.833
   10,,Level 7,LEVEL 7,     9.833
    9,,Level 6,LEVEL 6,     9.833
    8,,Level 5,LEVEL 5,     9.833
    7,,Level 4,LEVEL 4,     9.833
    6,,Level 3,LEVEL 3,    18.000
    5,,Level 2,LEVEL 2,    11.000
    4,,Mezz,MEZZ,    11.000
    3,,Level 1,LEVEL 1,    12.333
    2,,P1,P1,    13.583
    1,,P2,P2,     7.417
Composite Deck Properties:
 ID, Label, Deck Type
   1,3" on 2" deck,VULCRAFT 2.0VL
 ID, Thick, Unit Wt, f'c, Stud, Diam,, Shored
, in, pcf, ksi, in, in
   1,   3.00, 145.00,    3.50,   3.50,   0.75,,No
 ID, Hr, Rib Space, Wr, AcRib,  YBar, Self-Weight
, in, in, in, in, in, psf
   1,    2.00,      12.00,   6.000,  12.000,   1.056,    3.00
Composite Deck Diaphragm Properties:
 ID, Effect Thick, Poisson's, Elastic Mod
, in,, ksi
   1, 3.0000,   0.20,3372.00
Noncomposite Deck Properties:
 ID,  Label,  Unit Wt,  Effect Thick,  Poisson's, Elastic Mod
,, psf, in,, ksi
   1,3N Roof Deck,   3.00, 1.0000,   0.30,29000.00
 Concrete Floor Properties:
  ID,  Label,  Effect Thick,  f'c, Unit Wt,  UW-Self,  Poisson's,  Bending Fac,  Diaph Fac
 , , , in, ksi, pcf, pcf, , , 
,1,10.50",10.50, 4.00,145.00,150.00, 0.20, 0.25, 0.25
,2,12.50",12.50, 4.00,145.00,150.00, 0.20, 0.25, 0.25
,3,22.50",22.50, 4.00,145.00,150.00, 0.20, 0.25, 0.25
,4,null,10.50, 4.00,145.00, 0.00, 0.20, 0.25, 0.25
,5,6", 6.00, 4.00,145.00,150.00, 0.20, 0.25, 0.25
,6,*10.5 Slab (3),10.50, 5.00,145.00,150.00, 0.20, 0.25, 0.25
,7,*22.5 Slab (2),22.50, 5.00,145.00,150.00, 0.20, 0.25, 0.25
,8,*132 Slab,132.00, 5.00,145.00,150.00, 0.20, 1.00, 1.00
,9,*120 Slab,120.00, 5.00,145.00,150.00, 0.20, 1.00, 1.00
,10,*116 Slab,116.00, 5.00,145.00,150.00, 0.20, 1.00, 1.00
,11,*104 Slab,104.00, 5.00,145.00,150.00, 0.20, 1.00, 1.00
,12,*50 Slab,50.00, 5.00,145.00,150.00, 0.20, 1.00, 1.00
,13,*48 Slab,48.00, 5.00,145.00,150.00, 0.20, 1.00, 1.00
,14,*36 Slab,36.00, 5.00,145.00,150.00, 0.20, 1.00, 1.00
,15,*24 Slab,24.00, 5.00,145.00,150.00, 0.20, 1.00, 1.00
Load Properties:
 Surface:
 ID, DL, Constr DL, LL, Reduct., Partition, Constr LL, Mass DL
, psf, psf, psf, Type,  psf,  psf, psf
     Parking P1 Typ,      10.0,       0.0,      40.0,Unred.     ,       0.0,       0.0,      10.0
         Stairs Typ,      50.0,       0.0,     100.0,Red.       ,       0.0,       0.0,      50.0
            Laundry,      10.0,       0.0,     150.0,Unred.     ,       0.0,       0.0,      10.0
 Mechanical w/ Snow,      34.0,       0.0,     150.0,Unred.     ,       0.0,       0.0,      34.0
          Fire Lane,      20.0,       0.0,     250.0,Unred.     ,       0.0,       0.0,      20.0
Lobby Retail Restau,      34.0,       0.0,     100.0,Red.       ,       0.0,       0.0,      34.0
        4" build-up,      84.0,       0.0,     100.0,Red.       ,       0.0,       0.0,      84.0
    Mechanical Room,      25.0,       0.0,     150.0,Unred.     ,       0.0,       0.0,      25.0
             Office,      25.0,       0.0,      50.0,Red.       ,       0.0,       0.0,      25.0
            Storage,      22.0,       0.0,     125.0,Storage    ,       0.0,       0.0,      22.0
      Meeting Rooms,      22.0,       0.0,     100.0,Unred.     ,       0.0,       0.0,      22.0
Rooms and Corridors,      22.0,       0.0,      40.0,Red.       ,       0.0,       0.0,      22.0
               Loft,      60.0,       0.0,      40.0,Red.       ,       0.0,       0.0,      60.0
            Balcony,      30.0,       0.0,     100.0,Unred.     ,       0.0,       0.0,      30.0
           Roof Typ,      18.0,       0.0,       0.0,Roof       ,       0.0,       0.0,      18.0
          Mech Roof,     100.0,       0.0,       0.0,Unred.     ,       0.0,       0.0,     100.0
    Mech Roof w/ LL,      40.0,       0.0,      40.0,Red.       ,       0.0,       0.0,      40.0
     Roof Mech Room,      18.0,       0.0,     150.0,Unred.     ,       0.0,       0.0,      18.0
        Roof Stairs,      18.0,       0.0,     100.0,Red.       ,       0.0,       0.0,      18.0
       Roof Terrace,      38.0,       0.0,     100.0,Unred.     ,       0.0,       0.0,      38.0
               Pool,     500.0,       0.0,     100.0,Unred.     ,       0.0,       0.0,     500.0
 Drive Area Level 1,      34.0,       0.0,     100.0,Unred.     ,       0.0,       0.0,      34.0
 Line:
 ID, DL, Constr DL, LL, Reduct., Partition, Constr LL, Mass DL
, k/ft, k/ft, k/ft, Type,  k/ft,  k/ft, k/ft
LEVEL 3 GLAZING,0.270,0.000,0.000,Red.,0.000,0.000,0.270
LEVEL 2 GLAZING,0.330,0.000,0.000,Red.,0.000,0.000,0.330
LEVEL 4-7 GLAZING,0.150,0.000,0.000,Red.,0.000,0.000,0.150
LEVEL 8 GLAZING,0.150,0.000,0.000,Red.,0.000,0.000,0.150
ROOF GLAZING,0.198,0.000,0.000,Red.,0.000,0.000,0.198
POOL LINER,0.600,0.000,0.000,Red.,0.000,0.000,0.600
 Snow:
 ID, Type, Magnitude 1, Magnitude 2, Magnitude 3
, , psf, psf, psf
Snow, Constant, 30.00, ---, ---
BEAM SECTION PROPERTIES:
 Concrete:
 #, Label, Shape, Depth, Width, Flange, Web, Cracked Factor
 Overhang, Thick,  Axial,  Flex,  Tors
,,,,         in,         in,         in,         in
   1,     B 24x26,Rect      ,     24.00,     26.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
   2,     B 48x26,Rect      ,     26.00,     48.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
   3,     B 48x36,Rect      ,     36.00,     48.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
   4,     B 24x36,Rect      ,     36.00,     24.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
   5,     B 24x82,Rect      ,     82.00,     24.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
   6,     B 20x50,Rect      ,     50.00,     20.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
   7,   B 12x10.5,Rect      ,     12.00,     10.50,      ----,      ----,      ----,      1.00,      0.35,      0.10
   8,     B 20x30,Rect      ,     30.00,     20.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
   9,     B 24X48,Rect      ,     48.00,     24.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
  10,     B 12x24,Rect      ,     24.00,     12.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
  11,     B 36x48,Rect      ,     48.00,     36.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
  12,     B 12x10,Rect      ,     12.00,     10.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
  13,     B 12x66,Rect      ,     66.00,     12.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
  14,     B 12x36,Rect      ,     36.00,     12.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
  15,    B 12x120,Rect      ,    120.00,     12.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
  16,     B 12x32,Rect      ,     32.00,     12.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
  17,    B 12x104,Rect      ,    104.00,     12.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
  18,     B 24x24,Rect      ,     24.00,     24.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
  19,    B 18x120,Rect      ,    120.00,     18.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
  20,     B 18x50,Rect      ,     50.00,     18.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
  21,     B 20x82,Rect      ,     82.00,     20.00,      ----,      ----,      ----,      1.00,      0.35,      0.10
COLUMN SECTION PROPERTIES:
 Concrete:
 #,  Label,  Shape, Depth/Diam, Width, Cracked Factor
,,,         in,         in,      Axial,       Flex,       Tors
    1,         C 18x24, Rect      ,      24.00,      18.00,       1.00,       0.70,       1.00
    2,         C 20x20, Rect      ,      20.00,      20.00,       1.00,       0.70,       1.00
    3,         C 20x24, Rect      ,      24.00,      20.00,       1.00,       0.70,       1.00
    4,         C 20x28, Rect      ,      28.00,      20.00,       1.00,       0.70,       1.00
    5,         C 24x28, Rect      ,      28.00,      24.00,       1.00,       0.70,       1.00
    6,         C 24x36, Rect      ,      36.00,      24.00,       1.00,       0.70,       1.00
    7,         C 20x36, Rect      ,      36.00,      20.00,       1.00,       0.70,       1.00
    8,            c4x4, Rect      ,       4.00,       4.00,       1.00,       0.70,       1.00
    9,         C 12X36, Rect      ,      36.00,      12.00,       1.00,       0.70,       1.00
   10,         C 36X36, Rect      ,      36.00,      36.00,       1.00,       0.70,       1.00
   11,        *24 x 18, Rect      ,      24.00,      18.00,       1.00,       0.35,       1.00
   12,        *36 x 12, Rect      ,      36.00,      12.00,       1.00,       0.35,       1.00
   13,         C 24x24, Rect      ,      24.00,      24.00,       1.00,       0.70,       1.00
   14,         C 26x28, Rect      ,      28.00,      26.00,       1.00,       0.70,       1.00
   15,         C 28x28, Rect      ,      28.00,      28.00,       1.00,       0.70,       1.00
   16,         C 12x24, Rect      ,      24.00,      12.00,       1.00,       0.70,       1.00
Grid Systems:
 System Label,  Type,  X Offset,  Y Offset, Rotation
,, ft, ft
MAIN GRID,Orthogonal,0.000,0.000,0.00
Grids:
 System: MAIN GRID
 X Grids, Label, X, Min Y, Max Y
,, ft, ft, ft
,1,0.0000,----,----
,2,12.0000,----,----
,2.2,20.0000,----,----
,2.9,45.0000,----,----
,3,48.0000,----,----
,4,84.0000,----,----
,5,120.0000,----,----
,5.4,133.8542,----,----
,6,156.0000,----,----
,7,190.0000,----,----
 Y Grids, Label, Y, Min X, Max X
,, ft, ft, ft
,E,0.0000,----,----
,D.1,29.0000,----,----
,D,34.0000,----,----
,C,54.0000,----,----
,B,78.0000,----,----
,A,112.0000,----,----
 DATA FOR FLOOR TYPE: P1
Grid Systems:
MAIN GRID
Columns:
 ID, X, Y, Shape, Orientation, Param*, LLRed,, Frame
, ft, ft,, Angle, ksi, %,, Type
     1, 119.250, 111.000, Conc,     90.00,       7.0,Use 56.23,, Gravity       
     2,  12.000, 111.000, Conc,     90.00,       7.0,Use 59.92,, Gravity       
     3,  48.000, 111.167, Conc,      0.00,       7.0,Use 60.00,, Gravity       
     4,  84.000, 111.167, Conc,      0.00,       7.0,Use 59.74,, Gravity       
     5,  98.000, 111.167, Conc,      0.00,       7.0,Use 48.42,, Gravity       
     6,  12.000,  78.833, Conc,      0.00,       7.0,Use 60.00,, Gravity       
     7,  45.000,  78.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
     8,  84.000,  78.000, Conc,      0.00,       8.0,Use 60.00,, Gravity       
     9,  98.000,  78.000, Conc,     90.00,       7.0,Use 48.34,, Gravity       
    10, 119.250,  78.000, Conc,     90.00,       7.0,Use 58.33,, Gravity       
    11,  12.833,  54.000, Conc,     90.00,       7.0,Use 51.96,, Gravity       
    12,  45.000,  54.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    13,  99.333,  54.000, Conc,     90.00,       7.0,Use 50.89,, Gravity       
    14, 119.250,  54.000, Conc,     90.00,       7.0,Use 59.96,, Gravity       
    15, 189.000,  53.000, Conc,     90.00,       7.0,Use 51.44,, Gravity       
    16,   0.833,  54.000, Conc,     90.00,       7.0,Use 46.04,, Gravity       
    17,   0.833,  34.000, Conc,     90.00,       7.0,Use 46.06,, Gravity       
    18,  12.833,  34.000, Conc,     90.00,       7.0,Use 54.12,, Gravity       
    19,  45.000,  34.000, Conc,     90.00,       8.0,Use 60.00,, Gravity       
    20,  84.000,  34.000, Conc,     90.00,       8.0,Use 60.00,, Gravity       
    21, 119.250,  34.000, Conc,     90.00,       8.0,Use 60.00,, Gravity       
    22, 189.000,  33.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    23,  12.833,  -0.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    24,  48.000,   0.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    25,  84.000,   0.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    26, 120.000,   0.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    27, 156.000,   0.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    28, 189.000,  -0.000, Conc,     90.00,       7.0,Use 60.00,, Gravity       
    32,  64.000,  45.146, Conc,      0.00,       5.0,Use 49.59,, Gravity       
    33,  74.375,  45.146, Conc,      0.00,       5.0,Use 48.97,, Gravity       
    34,  84.000,  88.333, Conc,     90.00,       5.0,Calc,, Gravity       
* Parameter:, Steel - Fy
,Concrete - f'c
,Other - E
Concrete Column Properties:
 ID, UW, UW Self, Conc, fct, Ec, Poisson, fy Long, fyt Shear
, (pcf), (pcf), Type, (ksi), (ksi), Ratio, (ksi), (ksi)
1,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
2,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
3,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
4,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
5,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
6,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
7,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
8,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
9,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
10,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
11,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
12,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
13,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
14,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
15,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
16,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
17,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
18,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
19,145.00,150.00,NWC,----,Code,0.20,60.00,60.00
