Reaction Summary
RAM Steel
15.03.00.000
HFH
DataBase: 14136 - 222 Milwaukee 2016.12.01 (2)
Building Code: IBC
Steel Code: AISC 360-10 LRFD
02/02/17 11:39:44
STEEL BEAM REACTION SUMMARY:
LOAD COMBINATIONS
1.40DL + 0.00LL
1.20DL + 1.60LL
Floor Type: LEVEL 2
 Beam,, Beam, Supports, (ft),,-, Unfactored(kips),-,,-, Factored (kips),-
 No.,, Size, X, Y, DL, +LL, -LL, +TOTAL, -TOTAL
       84,,W10X12         , 143.85,  34.00,     3.6,     1.5,     0.0,     0.0,     0.0
,,, 143.85,  54.00,     4.4,     2.2,     0.0,     0.0,     0.0
       85,,W8X10          , 143.85,  54.00,     3.3,     2.0,     0.0,     0.0,     0.0
,,, 156.00,  54.00,     3.3,     2.0,     0.0,     0.0,     0.0
       86,,W8X10          , 143.85,  48.50,     2.1,     2.0,     0.0,     0.0,     0.0
,,, 156.00,  48.50,     2.1,     2.0,     0.0,     0.0,     0.0
       87,,W8X10          , 149.93,  48.50,     0.0,     0.0,     0.0,     0.0,     0.0
,,, 149.93,  54.00,     0.0,     0.0,     0.0,     0.0,     0.0
Floor Type: MECH ROOF
 Beam,, Beam, Supports, (ft),,-, Unfactored(kips),-,,-, Factored (kips),-
 No.,, Size, X, Y, DL, +LL, -LL, +TOTAL, -TOTAL
       74,,W16X26         ,  54.00,  90.44,     6.0,     1.6,     0.0,     0.0,     0.0
,,,  84.00,  90.44,     6.0,     1.6,     0.0,     0.0,     0.0
       75,,W12X14         ,  84.00,  78.00,     5.5,     1.5,     0.0,     0.0,     0.0
,,,  84.00,  90.44,     5.4,     1.5,     0.0,     0.0,     0.0
       80,,W16X26         ,  54.00,  34.00,     6.6,     1.8,     0.0,     0.0,     0.0
,,,  84.00,  34.00,     6.6,     1.8,     0.0,     0.0,     0.0
       81,,W16X26         ,  84.00,  34.00,     0.5,     0.0,     0.0,     0.0,     0.0
,,, 119.25,  34.00,     0.5,     0.0,     0.0,     0.0,     0.0
       82,,W10X12         , 119.25,  34.00,     1.2,     0.0,     0.0,     0.0,     0.0
,,, 119.25,  54.00,     0.5,     0.0,     0.0,     0.0,     0.0
       83,,W10X12         , 119.25,  54.00,     0.6,     0.0,     0.0,     0.0,     0.0
,,, 119.25,  78.00,     0.6,     0.0,     0.0,     0.0,     0.0
       84,,W10X12         ,  84.00,  34.00,     9.8,     2.4,     0.0,     0.0,     0.0
,,,  84.00,  45.15,     4.2,     1.3,    -0.2,     0.0,     0.0
       85,,W16X26         ,  84.75,  54.00,     0.5,     0.0,     0.0,     0.0,     0.0
,,, 119.25,  54.00,     0.5,     0.0,     0.0,     0.0,     0.0
       86,,W16X26         ,  84.00,  78.00,     0.5,     0.0,     0.0,     0.0,     0.0
,,, 119.25,  78.00,     0.5,     0.0,     0.0,     0.0,     0.0
       88,,W10X12         ,  71.00,  78.00,     4.8,     1.4,     0.0,     0.0,     0.0
,,,  84.00,  78.00,     4.8,     1.4,     0.0,     0.0,     0.0
       95,,W16X26         ,  84.00,  39.47,     0.5,     0.0,     0.0,     0.0,     0.0
,,, 119.25,  39.47,     0.5,     0.0,     0.0,     0.0,     0.0
       96,,W16X26         ,  84.75,  47.33,     0.5,     0.0,     0.0,     0.0,     0.0
,,, 119.25,  47.33,     0.5,     0.0,     0.0,     0.0,     0.0
      101,,W8X10          ,  54.00,  62.00,     5.0,     1.4,     0.0,     0.0,     0.0
,,,  66.00,  62.00,     5.0,     1.4,     0.0,     0.0,     0.0
      102,,W8X10          ,  54.00,  70.00,     5.0,     1.4,     0.0,     0.0,     0.0
,,,  66.00,  70.00,     5.0,     1.4,     0.0,     0.0,     0.0
      109,,W16X26         ,  84.00,  31.37,     0.5,     0.0,     0.0,     0.0,     0.0
,,, 119.25,  31.37,     0.5,     0.0,     0.0,     0.0,     0.0
      115,,W16X26         ,  84.00,  54.00,     9.0,     2.3,     0.0,     0.0,     0.0
,,,  84.00,  78.00,     9.0,     2.3,     0.0,     0.0,     0.0
      120,,W12X16         ,  66.00,  62.00,     7.6,     2.2,     0.0,     0.0,     0.0
,,,  84.00,  62.00,     7.6,     2.2,     0.0,     0.0,     0.0
      121,,W12X16         ,  66.00,  70.00,     7.6,     2.2,     0.0,     0.0,     0.0
,,,  84.00,  70.00,     7.6,     2.2,     0.0,     0.0,     0.0
      124,,W16X26         ,  84.00,  62.00,     0.5,     0.0,     0.0,     0.0,     0.0
,,, 119.25,  62.00,     0.5,     0.0,     0.0,     0.0,     0.0
      125,,W16X26         ,  84.00,  70.00,     0.5,     0.0,     0.0,     0.0,     0.0
,,, 119.25,  70.00,     0.5,     0.0,     0.0,     0.0,     0.0
      134,,W12X14         ,  54.00,  78.00,     5.5,     1.5,     0.0,     0.0,     0.0
,,,  54.00,  90.44,     5.4,     1.5,     0.0,     0.0,     0.0
      135,,W10X12         ,  54.00,  34.00,     9.0,     2.4,     0.0,     0.0,     0.0
,,,  54.00,  45.15,     4.1,     1.3,    -0.2,     0.0,     0.0
      136,,W16X31         ,  54.00,  39.47,     9.1,     2.5,     0.0,     0.0,     0.0
,,,  84.00,  39.47,     9.1,     2.5,     0.0,     0.0,     0.0
      137,,W12X19         ,  54.00,  31.38,     3.1,     0.8,     0.0,     0.0,     0.0
,,,  84.00,  31.37,     3.1,     0.8,     0.0,     0.0,     0.0
      138,,W16X31         ,  54.00,  84.17,    10.1,     2.8,     0.0,     0.0,     0.0
,,,  84.00,  84.17,    10.1,     2.8,     0.0,     0.0,     0.0
      139,,W8X10          ,  71.00,  59.50,     0.0,     0.0,     0.0,     0.0,     0.0
,,,  71.00,  62.00,     0.0,     0.0,     0.0,     0.0,     0.0
      140,,W8X10          ,  71.00,  70.00,     0.0,     0.0,     0.0,     0.0,     0.0
,,,  71.00,  76.47,     0.0,     0.0,     0.0,     0.0,     0.0
Floor Type: LEVEL 4
 Beam,, Beam, Supports, (ft),,-, Unfactored(kips),-,,-, Factored (kips),-
 No.,, Size, X, Y, DL, +LL, -LL, +TOTAL, -TOTAL
       89,,W8X10          , 133.85,  54.00,     2.3,     0.4,     0.0,     0.0,     0.0
,,, 143.85,  54.00,     2.3,     0.4,     0.0,     0.0,     0.0
       90,,W8X10          , 143.85,  54.00,     3.0,     2.0,     0.0,     0.0,     0.0
,,, 156.00,  54.00,     3.0,     2.0,     0.0,     0.0,     0.0
       91,,W12X19         , 143.85,  34.00,     5.2,     2.1,     0.0,     0.0,     0.0
,,, 143.85,  54.00,     5.9,     2.8,     0.0,     0.0,     0.0
       92,,W12X19         , 133.85,  34.00,     6.1,     1.1,     0.0,     0.0,     0.0
,,, 133.85,  54.00,     6.1,     1.1,     0.0,     0.0,     0.0
       93,,W8X10          , 133.85,  39.00,     2.6,     0.7,     0.0,     0.0,     0.0
,,, 143.85,  39.00,     2.6,     0.7,     0.0,     0.0,     0.0
       94,,W8X10          , 133.85,  44.00,     2.6,     0.7,     0.0,     0.0,     0.0
,,, 143.85,  44.00,     2.6,     0.7,     0.0,     0.0,     0.0
       95,,W8X10          , 133.85,  49.00,     2.6,     0.7,     0.0,     0.0,     0.0
,,, 143.85,  49.00,     2.6,     0.7,     0.0,     0.0,     0.0
       97,,W8X10          , 143.85,  48.50,     2.1,     2.0,     0.0,     0.0,     0.0
,,, 156.00,  48.50,     2.1,     2.0,     0.0,     0.0,     0.0
       98,,W8X10          , 149.93,  48.50,     0.0,     0.0,     0.0,     0.0,     0.0
,,, 149.93,  54.00,     0.0,     0.0,     0.0,     0.0,     0.0
Floor Type: LEVEL 7
 Beam,, Beam, Supports, (ft),,-, Unfactored(kips),-,,-, Factored (kips),-
 No.,, Size, X, Y, DL, +LL, -LL, +TOTAL, -TOTAL
       84,,W10X12         , 143.85,  34.00,     3.2,     1.5,     0.0,     0.0,     0.0
,,, 143.85,  54.00,     3.9,     2.2,     0.0,     0.0,     0.0
       85,,W8X10          , 143.85,  54.00,     2.9,     1.9,     0.0,     0.0,     0.0
,,, 156.00,  54.00,     2.9,     1.9,     0.0,     0.0,     0.0
       86,,W8X10          , 143.85,  48.50,     2.1,     2.0,     0.0,     0.0,     0.0
,,, 156.00,  48.50,     2.1,     2.0,     0.0,     0.0,     0.0
       87,,W8X10          , 149.93,  48.50,     0.0,     0.0,     0.0,     0.0,     0.0
,,, 149.93,  54.00,     0.0,     0.0,     0.0,     0.0,     0.0
Floor Type: LEVEL 6
 Beam,, Beam, Supports, (ft),,-, Unfactored(kips),-,,-, Factored (kips),-
 No.,, Size, X, Y, DL, +LL, -LL, +TOTAL, -TOTAL
       84,,W10X12         , 143.85,  34.00,     3.2,     1.5,     0.0,     0.0,     0.0
,,, 143.85,  54.00,     3.9,     2.2,     0.0,     0.0,     0.0
       85,,W8X10          , 143.85,  54.00,     2.9,     1.9,     0.0,     0.0,     0.0
,,, 156.00,  54.00,     2.9,     1.9,     0.0,     0.0,     0.0
       86,,W8X10          , 143.85,  48.50,     2.1,     2.0,     0.0,     0.0,     0.0
,,, 156.00,  48.50,     2.1,     2.0,     0.0,     0.0,     0.0
       87,,W8X10          , 149.93,  48.50,     0.0,     0.0,     0.0,     0.0,     0.0
,,, 149.93,  54.00,     0.0,     0.0,     0.0,     0.0,     0.0
Floor Type: LEVEL 5
 Beam,, Beam, Supports, (ft),,-, Unfactored(kips),-,,-, Factored (kips),-
 No.,, Size, X, Y, DL, +LL, -LL, +TOTAL, -TOTAL
       84,,W10X12         , 143.85,  34.00,     3.2,     1.5,     0.0,     0.0,     0.0
,,, 143.85,  54.00,     3.9,     2.2,     0.0,     0.0,     0.0
       85,,W8X10          , 143.85,  54.00,     2.9,     1.9,     0.0,     0.0,     0.0
,,, 156.00,  54.00,     2.9,     1.9,     0.0,     0.0,     0.0
       86,,W8X10          , 143.85,  48.50,     2.1,     2.0,     0.0,     0.0,     0.0
,,, 156.00,  48.50,     2.1,     2.0,     0.0,     0.0,     0.0
       87,,W8X10          , 149.93,  48.50,     0.0,     0.0,     0.0,     0.0,     0.0
,,, 149.93,  54.00,     0.0,     0.0,     0.0,     0.0,     0.0
